mysql: [Warning] Using a password on the command line interface can be insecure.
TABLE_NAME	TABLE_ROWS
biz_anime	70
biz_anime_follow	1
biz_article	0
biz_article_comment	0
biz_article_comment_reaction	0
biz_article_reaction	0
biz_comment	0
biz_comment_reaction	0
biz_delivery_order	0
biz_gacha_pool	2
biz_gacha_pool_item	32
biz_gacha_record	0
biz_item	18
biz_market_item	0
biz_message	2
biz_recharge_order	0
biz_redeem_order	0
biz_redeem_product	0
biz_synthesize_recipe	0
biz_synthesize_record	0
biz_synthesize_rule	2
biz_transaction	0
biz_transaction_log	0
biz_user_address	0
biz_user_asset	0
biz_user_follow	0
biz_user_fragment	0
biz_user_points_log	1
